AGE;Bạn đi với;Visiting time;sex;Desired amount;Di Tích Lịch Sử;Món ăn ngon;Trải nghiệm mới;Vẻ đẹp thiên;Cố đô Huế;Lăng Minh Mạng;Cung An Định Huế;Cầu Tràng Tiền;Làng Hương Xuân Thuỷ;Chùa Từ Hiếu;Chùa Thiên Mụ;Vườn hoa Bách Vân;Đồi Vọng Cảnh;Chợ Đông Ba
26;3;2;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
20;3;3;0;3;1;0;0;0;1;0;1;0;0;0;1;1;1;1
21;3;4;0;4;1;1;1;1;1;0;1;0;0;0;0;1;1;0
20;3;3;1;0;1;1;1;1;1;0;1;0;0;0;1;0;1;0
22;0;3;0;2;1;1;1;1;1;0;1;0;0;0;1;0;1;0
19;3;5;1;0;1;0;0;0;1;0;1;0;0;0;1;1;1;1
22;2;5;0;3;1;0;0;0;1;0;0;0;0;0;1;0;0;1
24;1;4;0;2;1;0;0;1;1;0;1;0;0;0;1;0;1;0
28;3;4;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;1
22;3;3;1;1;1;1;1;1;1;0;1;0;0;0;1;0;1;0
18;2;2;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0
20;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1
20;2;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
20;2;4;1;4;1;1;0;0;1;0;1;0;0;0;1;1;0;0
20;3;5;1;4;1;1;0;0;1;0;0;0;0;0;0;1;1;1
18;0;4;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1;1
20;3;3;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0
22;2;4;0;2;0;0;0;1;1;0;1;0;0;0;1;1;1;1
18;1;5;0;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1
20;1;3;1;2;1;0;0;0;1;0;1;0;0;0;0;1;1;0
20;1;2;1;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0
19;1;3;1;2;1;0;0;1;1;0;0;0;0;0;0;1;1;0
20;3;3;1;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1
19;3;3;0;2;1;1;1;1;1;0;1;0;0;0;1;1;1;1
19;2;3;0;0;1;1;1;1;0;0;1;0;0;0;0;1;1;0
19;3;3;1;2;1;0;0;0;1;0;1;0;0;0;0;0;1;1
22;0;2;1;0;1;1;0;0;1;0;0;0;0;0;1;1;1;1
21;3;3;0;1;1;1;1;1;1;0;1;0;0;0;0;1;1;0
20;2;2;0;2;1;1;0;1;1;0;0;0;0;0;1;1;1;1
21;3;3;1;2;1;1;0;0;0;0;1;0;0;0;0;1;1;0
22;3;3;1;2;1;0;0;0;1;0;1;0;0;0;1;1;1;1
20;3;4;1;1;1;0;1;0;1;0;0;0;0;0;1;1;1;1
22;1;4;1;3;1;0;0;1;0;0;0;0;0;0;0;1;1;1
22;2;4;0;2;1;1;1;1;1;0;0;0;0;0;0;0;1;1
20;1;3;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0
13;0;5;1;4;0;1;1;0;1;0;1;0;0;0;0;1;0;0
20;1;3;1;1;0;1;0;0;1;0;0;0;0;0;1;1;1;0
20;0;5;0;3;1;0;0;0;1;0;0;0;0;0;0;1;1;0
22;2;2;0;1;1;1;1;1;1;0;1;0;0;0;1;0;1;1
20;0;4;0;2;1;0;0;1;1;0;0;0;0;0;1;1;1;1
20;3;3;1;3;1;1;1;1;1;0;1;0;0;0;1;1;1;1
21;3;3;1;2;1;0;1;0;1;0;1;0;0;0;0;1;1;0
